circuit_id,name,location,country,latitude,longitude,altitude
monsanto,"Monsanto Park Circuit",Lisbon,Portugal,38.7197000,-9.2030600,158
montjuic,Montjuïc,Barcelona,Spain,41.3664000,2.1516700,79
monza,"Autodromo Nazionale di Monza",Monza,Italy,45.6156000,9.2811100,162
mosport,"Mosport International Raceway",Ontario,Canada,44.0481000,-78.6756000,332
mugello,"Autodromo Internazionale del Mugello",Mugello,Italy,43.9975000,11.3719000,255
nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211000,4.3269400,139
nurburgring,Nürburgring,Nürburg,Germany,50.3356000,6.9475000,578
okayama,"Okayama International Circuit",Okayama,Japan,34.9150000,134.2210000,266
osterreichring,A1-Ring,Spielberg,Austria,47.2197000,14.7647000,678
pedralbes,"Circuit de Pedralbes",Barcelona,Spain,41.3903000,2.1166700,85
pescara,"Pescara Circuit",Pescara,Italy,42.4750000,14.1508000,129
phoenix,"Phoenix street circuit",Phoenix,USA,33.4479000,-112.0750000,345
port_imperial,"Port Imperial Street Circuit","New Jersey",USA,40.7769000,-74.0111000,4
portimao,"Autódromo Internacional do Algarve",Portimão,Portugal,37.2270000,-8.6267000,108
red_bull_ring,"Red Bull Ring",Spielberg,Austria,47.2197000,14.7647000,678
reims,Reims-Gueux,Reims,France,49.2542000,3.9308300,88
ricard,"Circuit Paul Ricard","Le Castellet",France,43.2506000,5.7916700,432
riverside,"Riverside International Raceway",California,USA,33.9370000,-117.2730000,470
rodriguez,"Autódromo Hermanos Rodríguez","Mexico City",Mexico,19.4042000,-99.0907000,2227
sebring,"Sebring International Raceway",Florida,USA,27.4547000,-81.3483000,18
sepang,"Sepang International Circuit","Kuala Lumpur",Malaysia,2.7608300,101.7380000,18
shanghai,"Shanghai International Circuit",Shanghai,China,31.3389000,121.2200000,5
silverstone,"Silverstone Circuit",Silverstone,UK,52.0786000,-1.0169400,153
sochi,"Sochi Autodrom",Sochi,Russia,43.4057000,39.9578000,2
spa,"Circuit de Spa-Francorchamps",Spa,Belgium,50.4372000,5.9713900,401
suzuka,"Suzuka Circuit",Suzuka,Japan,34.8431000,136.5410000,45
tremblant,"Circuit Mont-Tremblant",Quebec,Canada,46.1877000,-74.6099000,214
valencia,"Valencia Street Circuit",Valencia,Spain,39.4589000,-0.3316670,4
villeneuve,"Circuit Gilles Villeneuve",Montreal,Canada,45.5000000,-73.5228000,13
watkins_glen,"Watkins Glen","New York State",USA,42.3369000,-76.9272000,485
yas_marina,"Yas Marina Circuit","Abu Dhabi",UAE,24.4672000,54.6031000,3
yeongam,"Korean International Circuit","Yeongam County",Korea,34.7333000,126.4170000,0
zandvoort,"Circuit Park Zandvoort",Zandvoort,Netherlands,52.3888000,4.5409200,6
zeltweg,Zeltweg,Styria,Austria,47.2039000,14.7478000,676
zolder,Zolder,Heusden-Zolder,Belgium,50.9894000,5.2569400,36
